ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
BROCKPORT HIGH SCHOOL,New York,www.bcs1.org,NY ,1-Regular school,2-No,2-No,31-Town: Fringe,1128,9th Grade,12th Grade,1128,1,12,61,65,955,–,34,11.19,100.80
BROCKTON HIGH,Massachusetts,www.brocktonpublicschools.com,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,4250,9th Grade,12th Grade,4250,13,106,522,2588,886,7,128,16.75,253.79
BROCKTON HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,43-Rural: Remote,39,9th Grade,12th Grade,39,34,="0",2,="0",="0",="0",3,7.13,5.47
BRODHEAD HIGH,Wisconsin,www.brodhead.k12.wi.us,WI ,1-Regular school,2-No,2-No,32-Town: Distant,317,9th Grade,12th Grade,317,1,2,15,4,294,="0",1,14.11,22.46
BROKEN ARROW HS,OKLAHOMA,www.baschools.org,OK ,1-Regular school,2-No,†,21-Suburb: Large,3778,9th Grade,12th Grade,3778,282,103,405,209,2466,7,306,19.42,194.53
BROKEN BOW HIGH SCHOOL,Nebraska,†,NE ,1-Regular school,†,†,33-Town: Remote,223,9th Grade,12th Grade,223,2,1,10,4,203,="0",3,10.83,20.59
BROKEN BOW HS,Oklahoma,www.bbisd.org,OK ,1-Regular school,2-No,†,33-Town: Remote,623,9th Grade,12th Grade,623,194,6,59,37,311,16,="0",14.22,43.81
BRONX AEROSPACE HIGH SCHOOL,New York,www.bronxaerospace.org,NY ,1-Regular school,2-No,–,11-City: Large,394,9th Grade,12th Grade,394,3,11,231,134,9,–,6,15.37,25.64
BRONX ARENA HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,173,9th Grade,12th Grade,173,2,1,102,62,5,–,1,12.36,14.00
BRONX CENTER FOR SCIENCE AND MATHEMATICS,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,464,9th Grade,12th Grade,464,2,37,297,118,7,–,3,16.51,28.11
BRONX COLLELGIATE ACADEMY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,389,9th Grade,12th Grade,389,="0",4,283,97,2,–,3,15.83,24.57
BRONX COMMUNITY HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,155,9th Grade,12th Grade,155,1,2,82,64,5,–,1,10.44,14.84
BRONX DESIGN AND CONSTRUCTION ACADEMY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,582,9th Grade,12th Grade,582,5,9,411,141,15,–,1,14.87,39.13
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,406,9th Grade,12th Grade,406,1,22,237,133,10,–,3,15.54,26.12
BRONX ENVISION ACADEMY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,391,9th Grade,12th Grade,391,6,8,242,127,7,–,1,13.96,28.01
BRONX GUILD HIGH SCHOOL,New York,www.bronxguild.org,NY ,1-Regular school,2-No,–,11-City: Large,319,9th Grade,12th Grade,319,1,10,204,99,3,–,2,15.50,20.58
BRONX HAVEN HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,176,9th Grade,12th Grade,176,="0",2,120,53,1,–,="0",11.01,15.99
BRONX HEALTH SCIENCES HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,336,9th Grade,12th Grade,336,5,24,127,159,12,–,9,18.69,17.98
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,New York,www.bhsva.com,NY ,1-Regular school,2-No,–,11-City: Large,494,9th Grade,12th Grade,494,="0",14,294,139,45,–,2,17.07,28.94
BRONX HIGH SCHOOL OF SCIENCE,New York,www.bxscience.edu,NY ,1-Regular school,2-No,–,11-City: Large,3011,9th Grade,12th Grade,3011,11,1873,160,66,633,–,268,22.32,134.88
BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICE,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,397,9th Grade,12th Grade,397,4,4,284,94,8,–,3,13.77,28.83
BRONX INTERNATIONAL HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,397,9th Grade,12th Grade,397,4,14,304,72,3,–,="0",16.56,23.97
BRONX LAB SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,447,9th Grade,12th Grade,447,2,13,230,189,10,–,3,13.22,33.82
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,688,9th Grade,12th Grade,688,3,3,451,217,7,–,7,18.35,37.50
BRONX SCHOOL OF LAW AND FINANCE,New York,www.lawandfinance.org,NY ,1-Regular school,2-No,–,11-City: Large,404,9th Grade,12th Grade,404,3,9,257,128,7,–,="0",17.10,23.63
BRONX THEATRE HIGH SCHOOL,New York,www.bxtheatre.org,NY ,1-Regular school,2-No,–,11-City: Large,414,9th Grade,12th Grade,414,2,2,266,134,8,–,2,14.01,29.55
BRONXVILLE HIGH SCHOOL,New York,www.bronxvilleschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,363,9th Grade,12th Grade,363,="0",24,18,="0",319,–,2,12.55,28.93
BRONXWOOD PREPARATORY ACADEMY (THE),New York,†,NY ,1-Regular school,2-No,–,11-City: Large,416,9th Grade,12th Grade,416,6,16,108,262,21,–,3,16.75,24.83
BRONZEVILLE SCHOLASTIC HS,Illinois,†,IL ,1-Regular school,2-No,2-No,11-City: Large,447,9th Grade,12th Grade,447,="0",1,9,436,1,="0",="0",13.48,33.17
BROOKE POINT HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1794,9th Grade,12th Grade,1794,3,60,331,406,866,6,122,16.14,111.16
BROOKFIELD HIGH,Missouri,www.brookfield.k12.mo.us,MO ,1-Regular school,2-No,2-No,41-Rural: Fringe,298,9th Grade,12th Grade,298,="0",2,10,4,274,1,7,14.57,20.45
BROOKFIELD HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,41-Rural: Fringe,304,9th Grade,12th Grade,304,="0",="0",2,7,283,="0",12,17.37,17.50
BROOKFIELD HIGH SCHOOL,Connecticut,brookfield.k12.ct.us/page.cfm?p=9,CT ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,880,9th Grade,12th Grade,880,4,54,55,18,749,="0",="0",13.58,64.80
BROOKHAVEN HIGH SCHOOL,Mississippi,http://www.brookhavenschools.org,MS ,1-Regular school,2-No,2-No,33-Town: Remote,816,9th Grade,12th Grade,816,="0",5,3,488,319,="0",1,14.72,55.42
BROOKHAVEN TECHNICAL CENTER,Mississippi,http://www.brookhavenschools.org,MS ,3-Vocational school,2-No,2-No,33-Town: Remote,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,8.84
BROOKINGS HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,33-Town: Remote,896,9th Grade,12th Grade,896,16,32,39,18,776,3,12,15.16,59.12
BROOKINGS-HARBOR HIGH SCHOOL,Oregon,www.brookings.k12.or.us/,OR ,1-Regular school,2-No,†,33-Town: Remote,534,9th Grade,12th Grade,534,20,13,67,9,317,="0",108,20.54,26.00
BROOKLAND-CAYCE SENIOR HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,21-Suburb: Large,1002,9th Grade,12th Grade,1002,="0",26,130,366,443,3,34,10.55,95.00
BROOKLINE HIGH,Massachusetts,†,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1957,9th Grade,12th Grade,1957,="0",293,208,147,1161,1,147,12.01,162.93
BROOKLYN ACADEMY OF GLOBAL FINANCE (THE),New York,†,NY ,1-Regular school,2-No,–,11-City: Large,118,9th Grade,12th Grade,118,2,6,19,89,2,–,="0",10.84,10.89
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,427,9th Grade,12th Grade,427,5,18,46,347,9,–,2,14.52,29.40
BROOKLYN BRIDGE ACADEMY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,212,9th Grade,12th Grade,212,4,1,21,180,5,–,1,14.14,14.99
BROOKLYN CENTER ACADEMY,MINNESOTA,http://bca.brooklyncenterschools.org/,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,43,9th Grade,12th Grade,43,2,5,9,23,2,="0",2,11.62,3.70
BROOKLYN CENTER INDEPENDENT STUDY,MINNESOTA,http://bchs.brooklyncenterschools.org,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
BROOKLYN CENTER SUMMER SCHOOL,MINNESOTA,http://www.brookcntr.k12.mn.us,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
BROOKLYN COLLEGE ACADEMY,New York,www.brooklyncollegeacademy.org,NY ,1-Regular school,2-No,–,11-City: Large,594,9th Grade,12th Grade,594,5,43,65,403,29,–,49,19.81,29.99
BROOKLYN COMMUNITY HIGH SCH-COMMUNICATION ARTS & MEDIA,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,375,9th Grade,12th Grade,375,2,4,69,296,1,–,3,15.10,24.83
BROOKLYN DEMOCRACY ACADEMY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,163,9th Grade,12th Grade,163,="0",1,23,137,2,–,="0",11.93,13.66
BROOKLYN FRONTIERS HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,179,9th Grade,12th Grade,179,1,="0",35,139,4,–,="0",6.64,26.97
BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,184,9th Grade,12th Grade,184,="0",1,49,130,4,–,="0",13.20,13.94
BROOKLYN HIGH SCHOOL OF THE ARTS,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,929,9th Grade,12th Grade,929,5,26,208,633,23,–,34,16.47,56.40
BROOKLYN INTERNATIONAL HIGH SCHOOL AT WATERS EDGE,New York,www.brooklyninternational.org,NY ,1-Regular school,2-No,–,11-City: Large,358,9th Grade,12th Grade,358,1,110,132,66,49,–,="0",16.57,21.60
BROOKLYN LAB SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,329,9th Grade,12th Grade,329,3,21,168,129,7,–,1,17.72,18.57
BROOKLYN LATIN SCHOOL (THE),New York,†,NY ,1-Regular school,2-No,–,11-City: Large,666,9th Grade,12th Grade,666,1,268,92,114,90,–,101,16.39,40.63
BROOKLYN SCHOOL FOR MATH AND RESEARCH (THE),New York,†,NY ,1-Regular school,2-No,–,11-City: Large,271,9th Grade,12th Grade,271,3,7,107,138,14,–,2,14.55,18.62
BROOKLYN SCHOOL FOR MUSIC & THEATER,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,350,9th Grade,12th Grade,350,="0",1,58,284,6,–,1,14.67,23.86
BROOKLYN TECHNICAL HIGH SCHOOL,New York,www.bths.edu,NY ,3-Vocational school,2-No,–,11-City: Large,5534,9th Grade,12th Grade,5534,18,3350,407,416,1163,–,180,22.90,241.65
BROOKLYN THEATRE ARTS HIGH SCHOOL,New York,www.brooklyntheatre.org,NY ,1-Regular school,2-No,–,11-City: Large,373,9th Grade,12th Grade,373,4,1,49,306,4,–,9,19.88,18.76
BROOKS COLLEGE PREP ACADEMY HS,Illinois,†,IL ,1-Regular school,2-No,1-Yes,11-City: Large,831,9th Grade,12th Grade,831,1,2,127,687,4,="0",10,19.30,43.06
BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL,Florida,www.bdchs.org,FL ,1-Regular school,1-Yes,2-No,11-City: Large,579,9th Grade,12th Grade,579,1,17,170,125,239,2,25,13.47,43.00
BROOKSIDE HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,22-Suburb: Mid-size,509,9th Grade,12th Grade,509,3,6,50,12,428,1,9,16.26,31.30
BROOKVILLE HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,934,9th Grade,12th Grade,934,10,20,19,110,745,="0",30,15.42,60.58
BROOKVILLE HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,390,9th Grade,12th Grade,390,="0",5,4,="0",379,="0",2,16.06,24.28
BROOKWOOD HIGH SCH,Alabama,http://brookwood.tcs.schoolinsites.com,AL ,1-Regular school,2-No,2-No,42-Rural: Distant,1001,9th Grade,12th Grade,1001,4,5,14,102,871,="0",5,20.02,50.00
BROOKWOOD HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,3476,9th Grade,12th Grade,3476,10,559,452,881,1430,5,139,19.95,174.20
BROOME HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,945,9th Grade,12th Grade,945,4,8,45,117,742,="0",29,16.58,57.00
BROOME STREET ACADEMY CHARTER HIGH SCHOOL,New York,www.broomestreetacademy.org,NY ,1-Regular school,1-Yes,2-No,11-City: Large,320,9th Grade,12th Grade,320,5,3,102,195,2,–,13,9.14,35.03
BROOMFIELD HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,13-City: Small,1561,9th Grade,12th Grade,1561,10,64,273,13,1145,1,55,21.35,73.10
BROWN COUNTY HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,42-Rural: Distant,670,9th Grade,12th Grade,670,5,5,12,1,628,="0",19,13.96,48.00
BROWN COUNTY HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,33-Town: Remote,188,9th Grade,12th Grade,188,1,1,3,="0",179,="0",4,11.19,16.80
BROWNFIELD EDUCATION CENTER,Texas,www.brownfieldisd.net,TX ,4-Alternative/other school,2-No,2-No,32-Town: Distant,22,9th Grade,12th Grade,22,="0",="0",18,1,3,="0",="0",6.77,3.25
BROWNFIELD H S,Texas,www.brownfieldisd.net,TX ,1-Regular school,2-No,2-No,32-Town: Distant,485,9th Grade,12th Grade,485,1,2,360,30,87,="0",5,12.89,37.64
BROWNING HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,41-Rural: Fringe,550,9th Grade,12th Grade,550,537,="0",6,="0",2,1,4,16.48,33.37
BROWNSBORO H S,Texas,†,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,807,9th Grade,12th Grade,807,5,3,103,79,608,="0",9,13.34,60.50
BROWNSBURG HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,21-Suburb: Large,2536,9th Grade,12th Grade,2536,6,54,107,281,1992,3,93,19.20,132.06
BROWNSTOWN CENTRAL HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,32-Town: Distant,583,9th Grade,12th Grade,583,3,4,7,1,556,1,11,17.39,33.52
BROWNSTOWN HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,96,9th Grade,12th Grade,96,="0",1,2,="0",91,1,1,13.39,7.17
BROWNSVILLE AREA HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,41-Rural: Fringe,480,9th Grade,12th Grade,480,="0",="0",1,73,399,2,5,12.90,37.20
BROWNSVILLE EARLY COLLEGE H S,Texas,†,TX ,1-Regular school,2-No,2-No,12-City: Mid-size,425,9th Grade,12th Grade,425,="0",2,417,="0",6,="0",="0",26.56,16.00
BROWNWOOD H S,Texas,†,TX ,1-Regular school,2-No,2-No,33-Town: Remote,898,9th Grade,12th Grade,898,5,6,357,37,465,="0",28,12.60,71.26
BRUCE HIGH,Wisconsin,www.bruce.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,151,9th Grade,12th Grade,151,1,="0",5,="0",143,="0",2,11.37,13.28
BRUCEVILLE-EDDY H S,Texas,†,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,231,9th Grade,12th Grade,231,2,="0",61,2,164,1,1,7.63,30.27
BRUNI H S,Texas,www.webbcisd.org,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,102,9th Grade,12th Grade,102,="0",="0",95,="0",7,="0",="0",7.62,13.39
BRUNING-DAVENPORT HIGH SCHOOL,Nebraska,†,NE ,1-Regular school,†,†,43-Rural: Remote,55,9th Grade,12th Grade,55,="0",1,3,="0",50,="0",1,6.44,8.54
BRUNSWICK HIGH,Maryland,http://fcps.schoolwires.com/152910824113818890/sit,MD ,1-Regular school,2-No,2-No,31-Town: Fringe,753,9th Grade,12th Grade,753,7,20,48,37,601,="0",40,18.14,41.50
BRUNSWICK HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,32-Town: Distant,519,9th Grade,12th Grade,519,1,2,13,396,106,="0",1,12.03,43.16
BRUNSWICK HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,13-City: Small,1760,9th Grade,12th Grade,1760,6,34,146,718,799,5,52,18.68,94.20
BRUNSWICK HIGH SCHOOL,Maine,†,ME ,1-Regular school,2-No,2-No,31-Town: Fringe,756,9th Grade,12th Grade,756,="0",22,23,14,685,1,11,10.43,72.50
BRUNSWICK HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,2222,9th Grade,12th Grade,2222,3,23,34,34,2049,3,76,21.16,105.00
BRUSH HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,1220,9th Grade,12th Grade,1220,1,18,11,851,259,="0",80,17.33,70.40
BRUSH HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,33-Town: Remote,434,9th Grade,12th Grade,434,="0",1,225,3,196,="0",9,17.34,25.03
BRUSLY HIGH SCHOOL,Louisiana,†,LA ,1-Regular school,2-No,2-No,21-Suburb: Large,595,9th Grade,12th Grade,595,2,1,16,215,360,="0",1,11.75,50.65
BRUTON HIGH,Virginia,†,VA ,1-Regular school,2-No,1-Yes,41-Rural: Fringe,604,9th Grade,12th Grade,604,1,17,55,145,340,3,43,12.81,47.15
BRYAN ADAMS H S,Texas,www.dallasisd.org/Page/23035,TX ,1-Regular school,2-No,2-No,11-City: Large,1963,9th Grade,12th Grade,1963,10,57,1516,264,108,1,7,16.50,118.94
BRYAN COLLEGIATE H S,Texas,bcollegiate.bryanisd.org/,TX ,1-Regular school,1-Yes,2-No,13-City: Small,430,9th Grade,12th Grade,430,2,5,285,20,112,="0",6,22.97,18.72
BRYAN COUNTY HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,42-Rural: Distant,598,9th Grade,12th Grade,598,="0",4,16,127,431,3,17,17.18,34.80
BRYAN HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,32-Town: Distant,532,9th Grade,12th Grade,532,1,10,26,2,481,="0",12,17.31,30.73
BRYAN HIGH SCHOOL,Nebraska,†,NE ,1-Regular school,†,†,21-Suburb: Large,1802,9th Grade,12th Grade,1802,18,54,1068,256,356,1,49,18.32,98.35
BRYAN STATION HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,1-Yes,11-City: Large,1733,9th Grade,12th Grade,1733,3,7,320,644,693,="0",66,16.21,106.90
BRYANT HIGH SCHOOL,Arkansas,www.bryantschools.org,AR ,1-Regular school,2-No,2-No,21-Suburb: Large,2694,9th Grade,12th Grade,2694,4,47,264,404,1948,5,22,15.41,174.83
BUCHANAN HIGH,California,†,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,2709,9th Grade,12th Grade,2709,19,353,731,70,1458,5,73,24.27,111.60
BUCKEYE CENTRAL HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,42-Rural: Distant,214,9th Grade,12th Grade,214,="0",2,5,2,203,="0",2,12.59,17.00
BUCKEYE HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,41-Rural: Fringe,648,9th Grade,12th Grade,648,1,3,7,5,618,="0",14,19.27,33.62
BUCKEYE LOCAL HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,41-Rural: Fringe,462,9th Grade,12th Grade,462,="0",3,5,9,439,="0",6,11.85,39.00
BUCKEYE TRAIL HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,42-Rural: Distant,279,9th Grade,12th Grade,279,1,="0",4,="0",269,="0",5,16.34,17.07
BUCKEYE UNION HIGH SCHOOL,Arizona,www.buhsd.org,AZ ,1-Regular school,2-No,–,31-Town: Fringe,1402,9th Grade,12th Grade,1402,21,3,809,106,442,2,19,24.52,57.17
BUCKEYE VALLEY LOCAL HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,41-Rural: Fringe,687,9th Grade,12th Grade,687,3,7,24,2,635,="0",16,19.32,35.55
BUCKHANNON UPSHUR HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,41-Rural: Fringe,1035,9th Grade,12th Grade,1035,="0",3,7,21,999,="0",5,14.68,70.50
BUCKHORN HIGH SCH,Alabama,https://www.madison.k12.al.us/Schools/bhs/default.aspx,AL ,1-Regular school,2-No,2-No,41-Rural: Fringe,1403,9th Grade,12th Grade,1403,107,18,41,291,920,1,25,19.09,73.48
BUCKINGHAM COUNTY HIGH,Virginia,www.bchs.k12.va.us,VA ,1-Regular school,2-No,2-No,43-Rural: Remote,537,9th Grade,12th Grade,537,="0",2,20,197,290,="0",28,12.10,44.37
BUCKLIN HIGH,Kansas,www.bucklinschools.com,KS ,1-Regular school,2-No,2-No,43-Rural: Remote,54,9th Grade,12th Grade,54,="0",="0",2,3,48,="0",1,6.14,8.80
BUCKS COUNTY TECHNICAL HIGH SCHOOL,Pennsylvania,http://www.bcths.com,PA ,3-Vocational school,2-No,2-No,21-Suburb: Large,1494,9th Grade,12th Grade,1494,3,22,111,97,1261,="0",="0",13.40,111.50
BUCKSPORT HIGH SCHOOL,Maine,†,ME ,1-Regular school,2-No,2-No,42-Rural: Distant,307,9th Grade,12th Grade,307,2,="0",5,2,295,1,2,11.16,27.50
BUCKTAIL HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,43-Rural: Remote,132,9th Grade,12th Grade,132,="0",="0",3,1,125,="0",3,8.20,16.10
BUD CARLSON ACADEMY,New Hampshire,www.rochesterschools.com/bca,NH ,1-Regular school,2-No,2-No,23-Suburb: Small,58,9th Grade,12th Grade,58,="0",="0",3,="0",54,="0",1,8.29,7.00
BUENA HIGH,California,www.venturausd.org/buena.htm,CA ,1-Regular school,2-No,2-No,12-City: Mid-size,1949,9th Grade,12th Grade,1949,10,72,999,26,784,6,52,25.11,77.63
BUENA HIGH SCHOOL,Arizona,www.sierravistapublicschools.com,AZ ,1-Regular school,2-No,–,13-City: Small,2153,9th Grade,12th Grade,2153,20,53,712,153,1029,29,157,20.90,103.00
BUENA PARK HIGH,California,†,CA ,1-Regular school,2-No,1-Yes,21-Suburb: Large,1913,9th Grade,12th Grade,1913,6,204,1405,114,145,15,24,28.18,67.88
BUENA REGIONAL HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,41-Rural: Fringe,649,9th Grade,12th Grade,649,="0",14,144,95,391,="0",5,11.59,56.00
BUENA VISTA CONTINUATION HIGH,California,http://buenavista.chino.k12.ca.us,CA ,4-Alternative/other school,2-No,2-No,13-City: Small,187,9th Grade,12th Grade,187,1,3,164,3,14,="0",2,15.33,12.20
BUENA VISTA HIGH,California,†,CA ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,205,9th Grade,12th Grade,205,="0",1,166,30,3,1,4,15.77,13.00
BUENA VISTA HIGH,California,†,CA ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,4,9th Grade,12th Grade,4,="0",="0",4,="0",="0",="0",="0",8.00,="0.50"
BUENA VISTA HIGH (CONTINUATION),California,www.taft.k12.ca.us/buenavista,CA ,4-Alternative/other school,2-No,2-No,32-Town: Distant,67,9th Grade,12th Grade,67,1,="0",23,1,41,="0",1,10.97,6.11
BUENA VISTA HIGH SCHOOL,Colorado,http://www.bvschools.org,CO ,1-Regular school,2-No,2-No,33-Town: Remote,274,9th Grade,12th Grade,274,4,3,32,2,227,="0",6,14.08,19.46
BUFFALO GAP HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,42-Rural: Distant,519,9th Grade,12th Grade,519,1,1,8,7,499,="0",3,12.73,40.78
BUFFALO GROVE HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,1944,9th Grade,12th Grade,1944,="0",159,505,30,1178,2,70,17.25,112.69
BUFFALO H S,Texas,www.buffaloisd.net,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,289,9th Grade,12th Grade,289,="0",2,109,9,163,="0",6,11.72,24.66
BUFFALO HIGH,Missouri,www.bisonpride.us,MO ,1-Regular school,2-No,2-No,32-Town: Distant,455,9th Grade,12th Grade,455,4,2,10,3,433,="0",3,13.82,32.93
BUFFALO HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,41-Rural: Fringe,341,9th Grade,12th Grade,341,="0",1,1,2,337,="0",="0",14.21,24.00
BUFFALO HIGH SCHOOL,Wyoming,http://www.jcsd1.us/high.cfm,WY ,1-Regular school,2-No,2-No,41-Rural: Fringe,322,9th Grade,12th Grade,322,="0",="0",26,="0",283,="0",13,10.32,31.19
BUFFALO HS,Oklahoma,www.buffalo.k12.ok.us,OK ,1-Regular school,2-No,†,43-Rural: Remote,57,9th Grade,12th Grade,57,="0",="0",18,="0",36,="0",3,10.18,5.60
BUFFALO SENIOR HIGH,Minnesota,http://www.bhmschools.org,MN ,1-Regular school,2-No,2-No,31-Town: Fringe,1835,9th Grade,12th Grade,1835,7,22,57,23,1693,1,32,19.88,92.30
BUFFALO VALLEY HS,Oklahoma,www.bvpsd.org,OK ,1-Regular school,2-No,†,43-Rural: Remote,53,9th Grade,12th Grade,53,26,="0",1,="0",23,="0",3,10.84,4.89
BUFORD HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,42-Rural: Distant,640,9th Grade,12th Grade,640,3,3,13,54,557,="0",10,14.55,44.00
BUFORD HIGH SCHOOL,Georgia,www.bufordcityschools.org,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,1299,9th Grade,12th Grade,1299,1,35,296,182,741,4,40,18.35,70.80
BUHACH COLONY HIGH,California,www.bchs.muhsd.k12.ca.us,CA ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1764,9th Grade,12th Grade,1764,14,185,1063,54,434,3,11,23.47,75.16
BUHL HIGH SCHOOL,Idaho,†,ID ,1-Regular school,2-No,2-No,41-Rural: Fringe,377,9th Grade,12th Grade,377,1,2,115,7,251,1,="0",15.00,25.13
